M00.98,"Pyogenic arthritis, unspecified; Infective arthritis NOSother sites",,,,,
M00.99,"Pyogenic arthritis, unspecified; Infective arthritis NOSsite unspecified",,,,,
M02.39,"Reiter's disease, site unspecified",,,,,
M06.19,"Adult-onset Still's disease, site unspecified",,,,,
M08.29,"Juvenile arthritis with systemic onset; Still's disease NOSsite unspecified",,,,,
M02.99,"Reactive arthropathy, unspecified, site unspecified",,,,,
M05.99,"Seropositive rheumatoid arthritis, unspecified, siteunspecified",,,,,
M06.01,"Seronegative rheumatoid arthritis, shoulder region",,,,,
M06.09,"Seronegative rheumatoid arthritis, site unspecified",,,,,
M06.36,"Rheumatoid nodule, lower leg",,,,,
ICD 10 CODE,DESCRIPTION,,,,,
,,,,,,
M06.49,"Inflammatory polyarthropathy, site unspecified",,,,,
M06.81,"Other specified rheumatoid arthritis, shoulder region",,,,,
M06.86,"Other specified rheumatoid arthritis, lower leg",,,,,
M06.87,"Other specified rheumatoid arthritis, ankle and foot",,,,,
M06.89,"Other specified rheumatoid arthritis, site unspecified",,,,,
M06.90,"Rheumatoid arthritis, unspecified, multiple sites",,,,,
M06.91,"Rheumatoid arthritis, unspecified, shoulder region",,,,,
M06.93,"Rheumatoid arthritis, unspecified, forearm",,,,,
M06.94,"Rheumatoid arthritis, unspecified, hand",,,,,
M06.95,"Rheumatoid arthritis, unspecified, pelvic region and thigh",,,,,
M06.96,"Rheumatoid arthritis, unspecified, lower leg",,,,,
M06.97,"Rheumatoid arthritis, unspecified, ankle and foot",,,,,
M06.98,"Rheumatoid arthritis, unspecified, other sites",,,,,
M06.99,"Rheumatoid arthritis, unspecified, site unspecified",,,,,
M08.06,"Juvenile rheumatoid arthritis; Juvenile rheumatoid arthritiswith or without rheumatoid factor  lower leg",,,,,
M08.07,"Juvenile rheumatoid arthritis; Juvenile rheumatoid arthritiswith or without rheumatoid factor  ankle and foot",,,,,
M08.09,"Juvenile rheumatoid arthritis; Juvenile rheumatoid arthritiswith or without rheumatoid factor  site unspecified",,,,,
M08.19,Juvenile ankylosing spondylitis site unspecified,,,,,
M08.86,Other juvenile arthritis lower leg,,,,,
M08.89,Other juvenile arthritis site unspecified,,,,,
M08.91,"Juvenile arthritis, unspecified shoulder region",,,,,
M08.96,"Juvenile arthritis, unspecified lower leg",,,,,
M08.99,"Juvenile arthritis, unspecified site unspecified",,,,,
M10.00,Idiopathic gout; Gouty bursitis; Primary gout  multiple sites,,,,,
M10.01,"Idiopathic gout; Gouty bursitis; Primary gout;Urate tophus of heart shoulder region",,,,,
M10.02,"Idiopathic gout; Gouty bursitis; Primary gout;Urate tophus of heart upper arm",,,,,
M10.03,Idiopathic gout; Gouty bursitis; Primary gout  forearm,,,,,
M10.04,"Idiopathic gout; Gouty bursitis; Primary gout;Urate tophus of heart hand",,,,,
M10.05,"Idiopathic gout; Gouty bursitis; Primary gout;Urate tophusof heart pelvic region and thigh",,,,,
M10.06,Idiopathic gout; Gouty bursitis; Primary gout  lower leg,,,,,
M10.07,"Idiopathic gout; Gouty bursitis; Primary gout;Urate tophus of heart ankle and foot",,,,,
M10.08,"Idiopathic gout; Gouty bursitis; Primary gout;Urate tophus of heart other sites",,,,,
M10.09,"Idiopathic gout; Gouty bursitis; Primary gout;Urate tophus of heart site unspecified",,,,,
M10.10,Lead-induced gout   multiple sites,,,,,
M10.29,Drug-induced gout site unspecified,,,,,
M10.30,Gout due to impairment of renal function multiple sites,,,,,
M10.36,Gout due to impairment of renal function lower leg,,,,,
M10.39,Gout due to impairment of renal function site unspecified,,,,,
M10.40,Other secondary gout multiple sites,,,,,
M10.49,Other secondary gout site unspecified,,,,,
M10.90,"Gout, unspecified multiple sites",,,,,
M10.91,"Gout, unspecified shoulder region",,,,,
M10.92,"Gout, unspecified upper arm",,,,,
M10.93,"Gout, unspecified forearm",,,,,
M10.94,"Gout, unspecified hand",,,,,
M10.96,"Gout, unspecified lower leg",,,,,
M10.97,"Gout, unspecified ankle and foot",,,,,
M10.98,"Gout, unspecified other sites",,,,,
M10.99,"Gout, unspecified site unspecified",,,,,
M11.89,Other specified crystal arthropathies site unspecified,,,,,
M11.90,"Crystal arthropathy, unspecified multiple sites",,,,,
M11.99,"Crystal arthropathy, unspecified site unspecified",,,,,
M12.26,Villonodular synovitis (pigmented) lower leg,,,,,
M12.39,Palindromic rheumatism site unspecified,,,,,
M12.50,Traumatic arthropathy multiple sites,,,,,
M12.52,Traumatic arthropathy upper arm,,,,,
M12.53,Traumatic arthropathy forearm,,,,,
M12.54,Traumatic arthropathy hand,,,,,
M12.55,Traumatic arthropathy pelvic region and thigh,,,,,
ICD 10 CODE,DESCRIPTION,,,,,
,,,,,,
M12.57,Traumatic arthropathy ankle and foot,,,,,
M12.58,Traumatic arthropathy other sites,,,,,
M12.59,Traumatic arthropathy site unspecified,,,,,
M12.86,"Other specific arthropathies, not elsewhere classified;Transient arthropathy  lower leg",,,,,
M12.89,"Other specific arthropathies, not elsewhere classified;Transient arthropathy  site unspecified",,,,,
M13.00,"Polyarthritis, unspecified multiple sites",,,,,
M13.01,"Polyarthritis, unspecified shoulder region",,,,,
M13.02,"Polyarthritis, unspecified upper arm",,,,,
M13.06,"Polyarthritis, unspecified lower leg",,,,,
M13.09,"Polyarthritis, unspecified site unspecified",,,,,
M13.13,"Monoarthritis, not elsewhere classified forearm",,,,,
M13.16,"Monoarthritis, not elsewhere classified lower leg",,,,,
M13.17,"Monoarthritis, not elsewhere classified ankle and foot",,,,,
M13.18,"Monoarthritis, not elsewhere classified other sites",,,,,
M13.80,Other specified arthritis; Allergic arthritis  multiple sites,,,,,
M13.81,Other specified arthritis; Allergic arthritis  shoulder region,,,,,
M13.85,"Other specified arthritis; Allergic arthritis  pelvic region andthigh",,,,,
M13.86,Other specified arthritis; Allergic arthritis  lower leg,,,,,
M13.87,Other specified arthritis; Allergic arthritis  ankle and foot,,,,,
M13.88,Other specified arthritis; Allergic arthritis  other sites,,,,,
M13.89,Other specified arthritis; Allergic arthritis  site unspecified,,,,,
M13.90,"Arthritis, unspecified; Arthropathy NOS multiple sites",,,,,
M13.91,"Arthritis, unspecified; Arthropathy NOS shoulder region",,,,,
M13.92,"Arthritis, unspecified; Arthropathy NOS upper arm",,,,,
M13.93,"Arthritis, unspecified; Arthropathy NOS forearm",,,,,
M13.94,"Arthritis, unspecified; Arthropathy NOS hand",,,,,
M13.95,"Arthritis, unspecified; Arthropathy NOS pelvic region andthigh",,,,,
M13.96,"Arthritis, unspecified; Arthropathy NOS lower leg",,,,,
M13.97,"Arthritis, unspecified; Arthropathy NOS ankle and foot",,,,,
M13.98,"Arthritis, unspecified; Arthropathy NOS other sites",,,,,
M13.99,"Arthritis, unspecified; Arthropathy NOS site unspecified",,,,,
A92.0,"Chikungunya virus disease; Chikungunya (haemorrhagic)fever",,,,,
A92.1,O'nyong-nyong fever,,,,,
A92.2,"Venezuelan equine fever;  Venezuelan equine encephalitis;Venezuelan encephalomyelitis virus disease",,,,,
A92.8,Other specified mosquito-borne viral fevers,,,,,
A93.1,Sandfly fever; Pappataci fever; Phlebotomus fever,,,,,
A93.8,"Other specified arthropod-borne viral fevers; Piry virusdisease; Severe fever with thrombocytopenia syndrome[SFTS]; Vesicular stomatitis virus disease [Indiana fever]",,,,,
A94,"Unspecified arthropod-borne viral fever; Unspecifiedarthropod-borne viral fever; Arboviral fever NOS; Arbovirusinfection NOSAcute hemorrhagic fever",,,,,
M15.0,Primary generalized (osteo)arthrosis,,,,,
M15.2,Bouchard's nodes (with arthropathy),,,,,
M15.3,Secondary multiple arthrosis; Post-traumatic polyarthrosis,,,,,
M15.4,Erosive (osteo)arthrosis,,,,,
M15.8,Other polyarthrosis,,,,,
M15.9,"Polyarthrosis, unspecified; Generalized osteoarthritis NOS",,,,,
M16.0,"Primary coxarthrosis, bilateral",,,,,
M16.1,"Other primary coxarthrosis; Primary coxarthrosis NOS;Primary coxarthrosis unilateral",,,,,
M16.2,"Coxarthrosis resulting from dysplasia, bilateral",,,,,
M16.3,"Other dysplastic coxarthrosis; Dysplastic coxarthrosis NOS;Dysplastic coxarthrosis unilateral",,,,,
M16.9,"Coxarthrosis, unspecified",,,,,
M17.0,"Primary gonarthrosis, bilateral",,,,,
M17.1,"Other primary gonarthrosis; Primary gonarthrosis NOS;Primary gonarthrosis unilateral",,,,,
ICD 10 CODE,DESCRIPTION,,,,,
,,,,,,
M17.3,"Other post-traumatic gonarthrosis; Post-traumaticgonarthrosis NOS; Post-traumatic gonarthrosis unilateral",,,,,
M17.5,"Other secondary gonarthrosis; Secondary gonarthrosisNOS; Secondary gonarthrosis unilateral",,,,,
M17.9,"Gonarthrosis, unspecified",,,,,
M18.0,"Primary arthrosis of first carpometacarpal joints, bilateral",,,,,
M18.9,"Arthrosis of first carpometacarpal joint, unspecified",,,,,
M19.00,"Primary arthrosis of other joints; Primary arthrosisNOSmultiple sites",,,,,
M19.02,"Primary arthrosis of other joints; Primary arthrosisNOSupper arm",,,,,
M19.05,"Primary arthrosis of other joints; Primary arthrosisNOSpelvic region and thigh",,,,,
M19.06,"Primary arthrosis of other joints; Primary arthrosisNOSlower leg",,,,,
M19.08,"Primary arthrosis of other joints; Primary arthrosisNOSother sites",,,,,
M19.09,"Primary arthrosis of other joints; Primary arthrosis NOSsiteunspecified",,,,,
M19.10,"Post-traumatic arthrosis of other joints; Post-traumaticarthrosis NOS multiple sites",,,,,
M19.11,"Post-traumatic arthrosis of other joints; Post-traumaticarthrosis NOS shoulder region",,,,,
M19.12,"Post-traumatic arthrosis of other joints; Post-traumaticarthrosis NOS upper arm",,,,,
M19.19,"Post-traumatic arthrosis of other joints; Post-traumaticarthrosis NOS site unspecified",,,,,
M19.21,"Other secondary arthrosis; Secondary arthrosis NOSshoulder region",,,,,
M19.29,"Other secondary arthrosis; Secondary arthrosis NOS siteunspecified",,,,,
M19.81,Other specified arthrosis shoulder region,,,,,
M19.86,Other specified arthrosis lower leg,,,,,
M19.87,Other specified arthrosis ankle and foot,,,,,
M19.88,Other specified arthrosis other sites,,,,,
M19.89,Other specified arthrosis site unspecified,,,,,
M19.90,"Arthrosis, unspecified multiple sites",,,,,
M19.91,"Arthrosis, unspecified shoulder region",,,,,
M19.92,"Arthrosis, unspecified upper arm",,,,,
M19.93,"Arthrosis, unspecified forearm",,,,,
M19.94,"Arthrosis, unspecified hand",,,,,
M19.95,"Arthrosis, unspecified pelvic region and thigh",,,,,
M19.96,"Arthrosis, unspecified lower leg",,,,,
M19.97,"Arthrosis, unspecified ankle and foot",,,,,
M19.98,"Arthrosis, unspecified other sites",,,,,
M19.99,"Arthrosis, unspecified site unspecifiedOsteoarthritis",,,,,
J45.00,"Predominantly allergic asthma; Allergic bronchitis NOS;Allergic rhinitis with asthma; Atopic asthma; Extrinsicallergic asthma; Hay fever with asthma; in AcuteExacerbation",,,,,
J45.10,"Nonallergic asthma; Idiosyncratic asthma; Intrinsicnonallergic asthma, in Acute Exacerbation",,,,,
J45.80,"Mixed asthma, in Acute Exacerbation",,,,,
J45.90,Bronchial Asthma in Acute Exacerbation,,,,,
J46,Status asthmaticus; Acute severe asthma,,,,,
J98.1,"Pulmonary collapse; Atelectasis; Collapse of lung; Brock'ssyndrome",,,,,
M54.01,"Panniculitis affecting regions of neck and back  occipito-atlanto-axial region",,,,,
M54.06,"Panniculitis affecting regions of neck and back  lumbarregion",,,,,
M54.08,"Panniculitis affecting regions of neck and back  sacral andsacrococcygeal region",,,,,
M54.10,"Radiculopathy; Brachial Neuritis or radiculitis   NOS;Lumbar Neuritis or radiculitis   NOS;  Lumbosacral; thoracicNeuritis or radiculitis   NOS ; Radiculitis NOSMultiple sites in spine",,,,,
ICD 10 CODE,DESCRIPTION,,,,,
,,,,,,
M54.12,"Radiculopathy; Brachial Neuritis or radiculitis   NOS;Lumbar Neuritis or radiculitis   NOS;  Lumbosacral; thoracicNeuritis or radiculitis   NOS ; Radiculitis NOScervical region",,,,,
M54.14,"Radiculopathy; Brachial Neuritis or radiculitis   NOS;Lumbar Neuritis or radiculitis   NOS;  Lumbosacral; thoracicNeuritis or radiculitis   NOS ; Radiculitis NOSthoracic region",,,,,
M54.15,"Radiculopathy; Brachial Neuritis or radiculitis   NOS;Lumbar Neuritis or radiculitis   NOS;  Lumbosacral; thoracicNeuritis or radiculitis   NOS ; Radiculitis NOSthoracolumbar region",,,,,
M54.16,"Radiculopathy; Brachial Neuritis or radiculitis   NOS;Lumbar Neuritis or radiculitis   NOS;  Lumbosacral; thoracicNeuritis or radiculitis   NOS ; Radiculitis NOSlumbar region",,,,,
M54.17,"Radiculopathy; Brachial Neuritis or radiculitis   NOS;Lumbar Neuritis or radiculitis   NOS;  Lumbosacral; thoracicNeuritis or radiculitis   NOS ; Radiculitis NOSlumbosacral region",,,,,
M54.18,"Radiculopathy; Brachial Neuritis or radiculitis   NOS;Lumbar Neuritis or radiculitis   NOS;  Lumbosacral; thoracicNeuritis or radiculitis   NOS ; Radiculitis NOSsacral and sacrococcygeal region",,,,,
M54.19,"Radiculopathy; Brachial Neuritis or radiculitis   NOS;Lumbar Neuritis or radiculitis   NOS;  Lumbosacral; thoracicNeuritis or radiculitis   NOS ; Radiculitis NOSsite unspecified",,,,,
M54.2,Cervicalgia,,,,,
M54.20,Cervicalgia  Multiple sites in spine,,,,,
M54.22,Cervicalgia  cervical region,,,,,
M54.26,Cervicalgia  lumbar region,,,,,
M54.3,Sciatica,,,,,
M54.30,Sciatica  Multiple sites in spine,,,,,
M54.31,Sciatica  occipito-atlanto-axial region,,,,,
M54.35,Sciatica  thoracolumbar region,,,,,
M54.36,Sciatica  lumbar region,,,,,
M54.37,Sciatica  lumbosacral region,,,,,
M54.38,Sciatica  sacral and sacrococcygeal region,,,,,
M54.39,Sciatica  site unspecified,,,,,
M54.4,Lumbago with sciatica,,,,,
M54.41,Lumbago with sciatica  occipito-atlanto-axial region,,,,,
M54.44,Lumbago with sciatica  thoracic region,,,,,
M54.46,Lumbago with sciatica  lumbar region,,,,,
M54.48,Lumbago with sciatica  sacral and sacrococcygeal region,,,,,
M54.49,Lumbago with sciatica  site unspecified,,,,,
M54.5,Low back pain; Loin pain; Low back strain; Lumbago NOS,,,,,
M54.50,"Low back pain; Loin pain; Low back strain; Lumbago NOSMultiple sites in spine",,,,,
M54.51,"Low back pain; Loin pain; Low back strain; Lumbago NOSoccipito-atlanto-axial region",,,,,
M54.52,"Low back pain; Loin pain; Low back strain; Lumbago NOScervical region",,,,,
M54.84,Other dorsalgia  thoracic region,,,,,
