code,Description,,,
26504,TENDON PULLEY RECONSTRUCTION; W/ TENDON PROSTHESIS,,,
26508,THENAR MUSCLE RELEASE FOR THUMB CONTRACTURE,,,
26510,CROSS INTRINSIC TRANSFER,,,
26516,CAPSULODESIS FOR M-P JOINT STABILIZATION; SINGLE DIGIT,,,
26517,CAPSULODESIS FOR M-P JOINT STABILIZATION; TWO DIGITS,,,
26518,"CAPSULODESIS FOR M-P JOINT STABILIZATION; THREE OR FOURDIGITS",,,
26520,"CAPSULECTOMY OR CAPSULOTOMY FOR CONTRACTURE;METACARPOPHALANGEAL JOINT, SINGLE, EACH",,,
26525,"CAPSULECTOMY OR CAPSULOTOMY FOR CONTRACTURE;INTERPHALANGEAL JOINT, SINGLE, EACH",,,
26530,"ARTHROPLASTY, METACARPOPHALANGEAL JOINT; SINGLE, EACH",,,
26531,"ARTHROPLASTY, METACARPOPHALANGEAL JOINT; W/PROSTHETIC IMPLANT, SINGLE, EACH",,,
26535,"ARTHROPLASTY INTERPHALANGEAL JOINT, SINGLE, EACH",,,
26536,"ARTHROPLASTY INTERPHALANGEAL JOINT, W/ PROSTHETICIMPLANT, SINGLE, EACH",,,
26540,"REPAIR OF COLLATERAL LIGAMENT, METACARPOPHALANGEAL ORINTERPHALANGEAL JOINT",,,
26541,"RECONSTRUCTION, COLLATERAL LIGAMENT,METACARPOPHALANGEAL JOINT, SINGLE, W/ TENDON OR FASCIALGRAFT (INCLUDES OBTAINIG GRAFT)",,,
26542,"RECONSTRUCTION, COLLATERAL LIGAMENT,METACARPOPHALANGEAL JOINT, SINGLE, W/ LOCAL TISSUE (E.G.,ADDUCTOR ADVANCEMENT)",,,
RVS Code,Description,,,
,,,,
26546,"REPAIR NON-UNION, METACARPAL OR PHALANX, (INCLUDESOBTAINING BONE GRAFT W/ OR W/O EXTERNAL OR INTERNALFIXATION)",,,
26548,"REPAIR AND RECONSTRUCTION, FINGER, VOLAR PLATE,INTERPHALANGEAL JOINT",,,
26550,POLLICIZATION OF A DIGIT,,,
26551,"TOE-TO-HAND TRANSFER W/ MICROVASCULAR ANASTMOSIS;GREAT TOE ""WRAP-AROUND"" W/ BONE GRAFT",,,
26553,"TOE-TO-HAND TRANSFER W/ MICROVASCULAR ANASTMOSIS;OTHER THAN GREAT TOE, SINGLE",,,
26554,"TOE-TO-HAND TRANSFER W/ MICROVASCULAR ANASTMOSIS;OTHER THAN GREAT TOE, DOUBLE",,,
26555,POSITIONAL CHANGE OF OTHER FINGER,,,
26556,FREE TOE JOINT TRANSFER W/ MICROVASCULAR ANASTOMOSIS,,,
26560,"REPAIR OF SYNDACTYLY (WEB FINGER) EACH WEB SPACE; W/ SKINFLAPS",,,
26561,"REPAIR OF SYNDACTYLY (WEB FINGER) EACH WEB SPACE; W/ SKINFLAPS AND GRAFTS",,,
26562,"REPAIR OF SYNDACTYLY (WEB FINGER) EACH WEB SPACE;COMPLEX (E.G., INVOLVING BONE, NAILS)",,,
26565,OSTEOTOMY FOR CORRECTION OF DEFORMITY; METACARPAL,,,
26567,"OSTEOTOMY FOR CORRECTION OF DEFORMITY; PHALANX OFFINGER",,,
26568,OSTEOPLASTY FOR LENGTHENING OF METACARPAL OR PHALANX,,,
26580,REPAIR CLEFT HAND,,,
26585,REPAIR BIFID DIGIT,,,
26587,"RECONSTRUCTION OF SUPERNUMERARY DIGIT, SOFT TISSUE ANDBONE",,,
26590,REPAIR MACRODACTYLIA,,,
26591,"REPAIR, INTRINSIC MUSCLES OF HAND (SPECIFY)",,,
26593,"RELEASE, INTRINSIC MUSCLES OF HAND (SPECIFY)",,,
26596,"EXCISION OF CONSTRICTING RING OF FINGER, W/ MULTIPLE Z-PLASTIES",,,
26597,"RELEASE OF SCAR CONTRACTURE, FLEXOR OR EXTENSOR, W/SKIN GRAFTS, REARRANGEMENT FLAPS, OR Z-PLASTIES, HANDAND/OR FINGER",,,
26600,"CLOSED TREATMENT OF METACARPAL FRACTURE, SINGLE",,,
26607,"CLOSED TREATMENT OF METACARPAL FRACTURE, W/ INTERNALOR EXTERNAL FIXATION",,,
26608,"PERCUTANEOUS SKELETAL FIXATION OF METACARPAL FRACTURE,EACH BONE",,,
26615,"OPEN TREATMENT OF METACARPAL FRACTURE, SINGLE, W/ ORW/O INTERNAL OR EXTERNAL FIXATION, EACH BONE",,,
26641,"CLOSED TREATMENT OF CARPOMETACARPAL DISLOCATION,THUMB",,,
26645,"CLOSED TRATMENT OF CARPOMETACARPAL FRACTUREDISLOCATION, THUMB (BENNETT FRACTURE)",,,
26650,"PERCUTANEOUS SKELETAL FIXATION OF CARPOMETACARPALFRACTURE DISLOCATION, THUMB (BENNETT FRACTURE), W/MANIPULATION, W/ OR W/O EXTERNAL FIXATION",,,
26665,"OPEN TREATMENT OF CARPOMETACARPAL FRACTUREDISLOCATION, THUMB (BENNETT FRACTURE), W/ OR W/OINTERNAL OR EXTERNAL FIXATION",,,
26670,"CLOSED TREATMENT OF CARPOMETACARPAL DISLOCATION,OTHER THAN THUMB (BENNETT FRACTURE); SINGLE",,,
26676,"PERCUTANEOUS SKELETAL FIXATION OF CARPOMETACARPALDISLOCATION, OTHER THAN THUMB (BENNETT FRACTURE),SINGLE, W/ MANIPULATION",,,
26685,"OPEN TREATMENT OF CARPOMETACARPAL DISLOCATION, OTHERTHAN THUMB (BENNETT FRACTURE); SINGLE, W/ OR W/O OPENTREATMENT OF CARPOMETACARPAL DISLOCATION, OTHER THANTHUMB (BENNETT FRACTURE); SINGLE, INTERNAL OR EXTERNALFIXATION",,,
26686,"OPEN TREATMENT OF CARPOMETACARPAL DISLOCATION, OTHERTHAN THUMB (BENNETT FRACTURE); SINGLE, COMPLEX,MULTIPLE OR DELAYED REDUCTION",,,
26700,"CLOSED TREATMENT OF METACARPOPHALANGEAL DISLOCATION,SINGLE",,,
26706,"PERCUTANEOUS SKELETAL FIXATION OFMETACARPOPHALANGEAL DISLOCATION, SINGLE, W/MANIPULATION",,,
26715,"OPEN TREATMENT OF METACARPOPHALANGEAL DISLOCATION,SINGLE, W/ OR W/O INTERNAL OR EXTERNAL FIXATION",,,
26720,"CLOSED TREATMENT OF PHALANGEAL SHAFT FRACTURE,PROXIMAL OR MIDDLE PHALANX, FINGER OR THUMB",,,
26727,"PERCUTANEOUS SKELETAL FIXATION OF UNSTABLE PHALANGEALSHAFT FRACTURE, PROXIMAL OR MIDDLE PHALANX, FINGER ORTHUMB, W/ MANIPULATION, EACH",,,
RVS Code,Description,,,
,Case Rate,,,
26740,"CLOSED TREATMENT OF ARTICULAR FRACTURE, INVOLVINGMETACARPOPHALANGEAL OR INTERPHALANGEAL JOINT",,,
26746,"OPEN TREATMENT OF ARTICULAR FRACTURE, INVOLVINGMETACARPOPHALANGEAL OR INTERPHALANGEAL JOINT, W/ ORW/O INTERNAL OR EXTERNAL FIXATION, EACH",,,
26750,"CLOSED TREATMENT OF DISTAL PHALANGEAL FRACTURE, FINGEROR THUMB",,,
26756,"PERCUTANEOUS SKELETAL FIXATION OF DISTAL PHALANGEALFRACTURE, FINGER OR THUMB, EACH",,,
26765,"OPEN TREATMENT OF DISTAL PHALANGEAL FRACTURE, FINGEROR THUMB, W/ OR W/O INTERNAL OR EXTERNAL FIXATION, EACH",,,
26770,"CLOSED TREATMENT OF INTERPHALANGEAL JOINT DISLOCATION,SINGLE",,,
26776,"PERCUTANEOUS SKELETAL FIXATION OF INTERPHALANGEALJOINT DISLOCATION, SINGLE, W/ MANIPULATION",,,
26785,"OPEN TREATMENT OF INTERPHALANGEAL JOINT DISLOCATION,W/ OR W/O INTERNAL OR EXTERNAL FIXATION, SINGLE",,,
26820,"FUSION IN OPPOSITION, THUMB, W/ AUTOGENOUS GRAFT(INCLUDES OBTAINING GRAFT)",,,
26841,"ARTHRODESIS, CARPOMETACARPAL JOINT, THUMB, W/ OR W/OINTERNAL FIXATION;",,,
26842,"ARTHRODESIS, CARPOMETACARPAL JOINT, THUMB, W/ OR W/OINTERNAL FIXATION; W/ AUTOGRAFT (INCLUDES OBTAININGGRAFT)",,,
26843,"ARTHRODESIS, CARPOMETACARPAL JOINT, DIGITS, OTHER THANTHUMB;",,,
26844,"ARTHRODESIS, CARPOMETACARPAL JOINT, DIGITS, OTHER THANTHUMB; W/ AUTOGRAFT (INCLUDES OBTAINING GRAFT)",,,
26850,"ARTHRODESIS, METACARPOPHALANGEAL JOINT, W/ OR W/OINTERNAL FIXATION;",,,
26852,"ARTHRODESIS, METACARPOPHALANGEAL JOINT, W/ OR W/OINTERNAL FIXATION; W/ AUTOGRAFT (INCLUDES OBTAININGGRAFT)",,,
26860,"ARTHRODESIS, INTERPHALANGEAL JOINT, W/ OR W/O INTERNALFIXATION;",,,
26862,"ARTHRODESIS, INTERPHALANGEAL JOINT, W/ OR W/O INTERNALFIXATION; W/ AUTOGRAFT (INCLUDES OBTAINING GRAFT)",,,
26910,"AMPUTATION, METACARPAL, W/ FINGER OR THUMB (RAYAMPUTATION), SINGLE, W/ OR W/O INTEROSSEOUS TRANSFER",,,
26951,"AMPUTATION, FINGER OR THUMB, PRIMARY OR SECONDARY, ANYJOINT OR PHALANX, SINGLE, INCLUDING NEURECTOMIES; W/DIRECT CLOSURE",,,
26952,"AMPUTATION, FINGER OR THUMB, PRIMARY OR SECONDARY, ANYJOINT OR PHALANX, SINGLE, INCLUDING NEURECTOMIES; W/LOCAL ADVANCEMENT FLAPS (V-Y, HOOD)",,,
26990,"INCISION AND DRAINAGE, PELVIS OR HIP JOINT AREA; DEEPABSCESS OR HEMATOMA",,,
26991,"INCISION AND DRAINAGE, PELVIS OR HIP JOINT AREA; INFECTEDBURSA",,,
26992,"INCISION, DEEP, W/ OPENING OF BONE CORTEX (E.G., FOROSTEOMYELITIS OR BONE ABSCESS), PELVIS AND/OR HIP JOINT",,,
27000,"TENOTOMY, ADDUCTOR OF HIP, SUBCUTANEOUS, CLOSED",,,
27001,"TENOTOMY, ADDUCTOR OF HIP, SUBCUTANEOUS, OPEN",,,
27003,"TENOTOMY, ADDUCTOR, SUBCUTANEOUS, OPEN, W/ OBTURATORNEURECTOMY",,,
27005,"TENOTOMY, ILIOPSOAS, OPEN",,,
27006,"TENOTOMY, ABDUCTORS OF HIP, OPEN",,,
27025,"FASCIOTOMY, HIP OR THIGH, ANY TYPE",,,
27030,"ARTHROTOMY, HIP, FOR INFECTION, W/ DRAINAGE",,,
27033,"ARTHROTOMY, HIP, W/ EXPLORATION OR REMOVAL OF LOOSE ORFOREIGN BODY",,,
27035,"HIP JOINT DENERVATION, INTRAPELVIC OR EXTRAPELVIC INTRA-ARTICULAR BRANCHES OF SCIATIC, FEMORAL, OR OBTURATORNERVES",,,
27036,"CAPSULECTOMY OR CAPSULOTOMY OF HIP, W/ OR W/O EXCISIONOF HETEROTOPIC BONE, W/ RELEASE OF HIP FLEXOR MUSCLES(IE, GLUTEUS MEDIUS, GLUTEUS MINIMUS, TENSOR FASCIALATAE, RECTUS FEMORIS, SARTORIUS, ILIOPSOAS)",,,
27040,"BIOPSY, SOFT TISSUE OF PELVIS AND HIP AREA",,,
27047,"EXCISION, TUMOR, PELVIS AND HIP AREA; SUBCUTANEOUS",,,
27048,"EXCISION, TUMOR, PELVIS AND HIP AREA; DEEP, SUBFASCIAL,INTRAMUSCULAR",,,
27049,"RADICAL RESECTION OF TUMOR (E.G., MALIGNANT NEOPLASM),SOFT TISSUE OF PELVIS AND HIP AREA",,,
27050,"ARTHROTOMY, W/ BIOPSY; SACROILIAC JOINT",,,
27052,"ARTHROTOMY, W/ BIOPSY; HIP JOINT",,,
27054,"ARTHROTOMY W/ SYNOVECTOMY, HIP JOINT",,,
27060,EXCISION; ISCHIAL BURSA,,,
RVS Code,Description,,,
,,,,
27065,"EXCISION OF BONE CYST OR BENIGN TUMOR; SUPERFICIAL (WINGOF ILIUM, SYMPHYSIS PUBIS, OR GREATER TROCHANTER OFFEMUR) W/ OR W/O AUTOGRAFT",,,
27066,"EXCISION OF BONE CYST OR BENIGN TUMOR; DEEP, W/ OR W/OAUTOGRAFT",,,
27067,"EXCISION OF BONE CYST OR BENIGN TUMOR; W/ AUTOGRAFTREQUIRING SEPARATE INCISION",,,
27070,"PARTIAL EXCISION (CRATERIZATION, SAUCERIZATION) (E.G., FOROSTEOMYELITIS); SUPERFICIAL (E.G., WING OF ILIUM, SYMPHYSISPUBIS OR GREATER TROCHANTER OF FEMUR)",,,
27071,"PARTIAL EXCISION (CRATERIZATION, SAUCERIZATION) (E.G., FOROSTEOMYELITIS); DEEP",,,
27075,"RADICAL RESECTION OF TUMOR OR INFECTION; WING OF ILIUM,ONE PUBIC OR ISCHIAL RAMUS OR SYMPHYSIS PUBIS",,,
27076,"RADICAL RESECTION OF TUMOR OR INFECTION; ILIUM,INCLUDING ACETABULUM, BOTH PUBIC RAMI, OR ISCHIUM ANDACETABULUM",,,
27077,"RADICAL RESECTION OF TUMOR OR INFECTION; INNOMINATEBONE, TOTAL",,,
27078,"RADICAL RESECTION OF TUMOR OR INFECTION; ISCHIALTUBEROSITY AND GREATER TROCHANTER OF FEMUR",,,
27079,"RADICAL RESECTION OF TUMOR OR INFECTION; ISCHIALTUBEROSITY AND GREATER TROCHANTER OF FEMUR, W/ SKINFLAPS",,,
27080,"COCCYGECTOMY, PRIMARY",,,
27086,"REMOVAL OF FOREIGN BODY, PELVIS OR HIP",,,
27090,REMOVAL OF HIP PROSTHESIS;,,,
27091,"REMOVAL OF HIP PROSTHESIS; COMPLICATED, INCLUDING ""TOTALHIP"" AND METHLMETHACRYLATE, WHEN APPLICABLE",,,
27097,"HAMSTRING RECESSION, PROXIMAL",,,
27098,ADDUCTOR TRANSFER TO ISCHIUM,,,
27100,"TRANSFER EXTERNAL OBLIQUE MUSCLE TO GREATERTROCHANTER INCLUDING FASCIAL OR TENDON EXTENSION(GRAFT)",,,
27105,"TRANSFER PARASPINAL MUSCLE TO HIP (INCLUDES FASCIAL ORTENDON EXTENSION GRAFT)",,,
27110,TRANSFER ILIOPSOAS; TO GREATER TROCHANTER,,,
27111,TRANSFER ILIOPSOAS; TO FEMORAL NECK,,,
27120,"ACETABULOPLASTY; (E.G., WHITMAN, COLONNA, HAYGROVES, ORCUP TYPE)",,,
27122,"ACETABULOPLASTY; RESECTION FEMORAL HEAD (GIRDLESTONEPROCEDURE)",,,
27125,"PARTIAL HIP REPLACEMENT, PROSTHESIS (E.G., FEMORAL STEMPROSTHESIS, BIPOLAR ARTHROPLASTY)",,,
27130,"ARTHROPLASTY, ACETABULAR AND PROXIMAL FEMORALPROSTHETIC REPLACEMENT (TOTAL HIP REPLACEMENT), W/ ORW/O AUTOGRAFT OR ALLOGRAFT",,,
27132,"CONVERSION OF PREVIOUS HIP SURGERY TO TOTAL HIPREPLACEMENT, W/ OR W/O AUTOGRAFT OR ALLOGRAFT",,,
27134,"REVISION OF TOTAL HIP ARTHROPLASTY; BOTH COMPONENTS, W/OR W/O AUTOGRAFT OR ALLOGRAFT",,,
27137,"REVISION OF TOTAL HIP ARTHROPLASTY; ACETABULARCOMPONENT ONLY, W/ OR W/O AUTOGRAFT OR ALLOGRAFT",,,
27138,"REVISION OF TOTAL HIP ARTHROPLASTY; FEMORAL COMPONENTONLY, W/ OR W/O ALLOGRAFT",,,
27140,OSTEOTOMY AND TRANSFER OF GREATER TROCHANTER,,,
27146,"OSTEOTOMY , ILIAC, ACETABULAR OR INNOMINATE BONE;",,,
27147,"OSTEOTOMY , ILIAC, ACETABULAR OR INNOMINATE BONE; W/OPEN REDUCTION OF HIP",,,
27151,"OSTEOTOMY , ILIAC, ACETABULAR OR INNOMINATE BONE; W/FEMORAL OSTEOTOMY",,,
27156,"OSTEOTOMY , ILIAC, ACETABULAR OR INNOMINATE BONE; W/FEMORAL OSTEOTOMY AND W/ OPEN REDUCTION OF HIP",,,
27158,"OSTEOTOMY, PELVIS, BILATERAL (E.G., FOR CONGENITALMALFORMATION)",,,
27161,"OSTEOTOMY, FEMORAL NECK",,,
27165,"OSTEOTOMY, INTERTROCHANTERIC OR SUBTROCHANTERICINCLUDING INTERNAL OR EXTERNAL FIXATION AND/OR CAST",,,
27170,"BONE GRAFT, FEMORAL HEAD, NECK, INTERTROCHANTERIC ORSUBTROCHANTERIC AREA (INCLUDES OBTAINING BONE GRAFT)",,,
27175,"TREATMENT OF SLIPPED FEMORAL EPIPHYSIS; BY TRACTION, W/OREDUCTION",,,
27176,"TREATMENT OF SLIPPED FEMORAL EPIPHYSIS; BY SINGLE ORMULTIPLE PINNING, IN SITU",,,
27177,"OPEN TREATMENT OF SLIPPED FEMORAL EPIPHYSIS; SINGLE OFMULTIPLE PINNING OR BONE GRAFT (INCLUDES OBTAININGGRAFT)",,,
RVS Code,Description,,,
,,,,
27179,"OPEN TREATMENT OF SLIPPED FEMORAL EPIPHYSIS;OSTEOPLASTY OF FEMORAL NECK (HEYMAN TYPE PROCEDURE)",,,
27181,"OPEN TREATMENT OF SLIPPED FEMORAL EPIPHYSIS; OSTEOTOMYAND INTERNAL FIXATION",,,
27185,"EPIPHYSEAL ARREST BY EPIPHYSIODESIS OR STAPLING, GREATERTROCHANTER",,,
27187,"PROPHYLACTIC TREATMENT (NAILING, PINNING, PLATING, ORWIRING) W/ OR W/O METHYLMETHACRYLATE, FEMORAL NECKAND PROXIMAL FEMUR",,,
27193,"CLOSED TREATMENT OF PELVIC RING FRACTURE, DISLOCATION,DIASTASIS OR SUBLUXATION",,,
27200,CLOSED TREATMENT OF COCCYGEAL FRACTURE,,,
27202,OPEN TREATMENT OF COCCYGEAL FRACTURE,,,
27215,"OPEN TREATMENT OF ILIAC SPINE(S), TUBEROSITY AVULSION, ORILIAC WING FRACTURE(S) (E.G., PELVIC FRACTURE(S) W/C DO NOTDISRUPT THE PELVIC RING), W/ INTERNAL FIXATION",,,
27216,"PERCUTANEOUS SKELETAL FIXATION OF POSTERIOR PELVIC RINGFRACTURE AND/OR DISLOCATION (INCLUDES ILIUM, SACROILIACJOINT AND/OR SACRUM)",,,
27217,"OPEN TREATMENT OF ANTERIOR RING FRACTURE AND/ORDISLOCATION W/ INTERNAL FIXATION (INCLUDES PUBICSYMPHYSIS AND/OR RAMI)",,,
27218,"OPEN TREATMENT OF POSTERIOR RING FRACTURE AND/ORDISLOCATION W/ INTERNAL FIXATION (INCLUDES ILIUM,SACROILIAC JOINT AND/OR SACRUM)",,,
27220,"CLOSED TREATMENT OF ACETABULUM (HIP SOCKET)FRACTURE(S)",,,
27226,"OPEN TREATMENT OF POSTERIOR OR ANTERIOR ACETABULARWALL FRACTURE, W/ INTERNAL FIXATION",,,
27227,"OPEN TREATMENT OF ACETABULAR FRACTURE(S) INVOLVINGANTERIOR OR POSTERIOR (ONE) COLUMN, OR A FRACTURERUNNING TRANSVERSELY ACROSS THE ACETABULUM, W/INTERNAL FIXATION",,,
27228,"OPEN TREATMENT OF ACETABULAR FRACTURE(S) INVOLVINGANTERIOR AND POSTERIOR (TWO) COLUMNS, INCLUDES T-FRACTURE AND BOTH COLUMN FRACTURE W/ COMPLETEARTICULAR DETACHMENT, OR SINGLE COLUMN OR TRANSVERSEFRACTURE W/ ASSOCIATED ACETABULAR WALL FRACTURE, W/INTE",,,
27230,"CLOSED TREATMENT OF FEMORAL FRACTURE, PROXIMAL END,NECK",,,
27235,"PERCUTANEOUS SKELETAL FIXATION OF FEMORAL FRACTURE,PROXIMAL END, NECK, UNDISPLACED, MILDLY DISPLACED, ORIMPACTED FRACTURE",,,
27236,"OPEN TREATMENT OF FEMORAL FRACTURE, PROXIMAL END,NECK, INTERNAL FIXATION OR PROSTHETIC REPLACEMENT(DIRECT FRACTURE EXPOSURE)",,,
27238,"CLOSED TREATMENT OF  INTERTROCHANTERIC,PERTROCHANTERIC, OR SUBTROCHANTERIC FEMORAL FRACTURE",,,
27244,"OPEN TREATMENT OF INTERTROCHANTERIC, PERTROCHANTERIC,OR SUBTROCHANTERIC FEMORAL FRACTURE; W/ PLATE/SCREWTYPE IMPLANT, W/ OR W/O CERCLAGE",,,
27245,"OPEN TREATMENT OF INTERTROCHANTERIC, PERTROCHANTERIC,OR SUBTROCHANTERIC FEMORAL FRACTURE; W/INTRAMEDULLARY IMPLANT, W/ OR W/O INTERLOCKING SCREWSAND/OR CERCLAGE",,,
27246,CLOSED TREATMENT OF GREATER TROCHANTERIC FRACTURE,,,
27248,"OPEN TREATMENT OF GREATER TROCHANTERIC FRACTURE, W/OR W/O INTERNAL OR EXTERNAL FIXATION",,,
27250,"CLOSED TREATMENT OF HIP DISLOCATION, TRAUMATIC",,,
27253,"OPEN TREATMENT OF  HIP DISLOCATION, TRAUMATIC, W/OINTERNAL FIXATION",,,
27254,"OPEN TREATMENT OF HIP DISLOCATION, TRAUMATIC W/ACETABULAR WALL AND FEMORAL HEAD FRACTURE, W/ OR W/OINTERNAL OR EXTERNAL FIXATION",,,
27258,"OPEN TREATMENT OF SPONTANEOUS HIP DISLOCATION(DEVELOPMENTAL, INCLUDING CONGENITAL OR PATHOLOGICAL),REPLACEMENT OF FEMORAL HEAD IN ACETABULUM (INCLUDINGTENOTOMY, ETC);",,,
27259,"OPEN TREATMENT OF SPONTANEOUS HIP DISLOCATION(DEVELOPMENTAL, INCLUDING CONGENITAL OR PATHOLOGICAL),REPLACEMENT OF FEMORAL HEAD IN ACETABULUM (INCLUDINGTENOTOMY, ETC); W/ FEMORAL SHAFT SHORTENING",,,
27265,CLOSED TREATMENT OF POST HIP ARTHROPLASTY DISLOCATION,,,
27280,"ARTHRODESIS, SACROILIAC JOINT (INCLUDING OBTAININGGRAFT)",,,
27282,"ARTHRODESIS, SYMPHYSIS PUBIS (INCLUDING OBTAINING GRAFT)",,,
27284,"ARTHRODESIS, HIP JOINT (INCLUDES OBTAINING GRAFT);",,,
RVS Code,Description,,,
,,,,
27290,"INTERPELVIABDOMINAL AMPUTATION (HINDQUARTERAMPUTATION)",,,
27295,DISARTICULATION OF HIP,,,
27301,"INCISION AND DRAINAGE OF DEEP ABSCESS, INFECTED BURSA, ORHEMATOMA, THIGH OR KNEE REGION",,,
27303,"INCISION, DEEP, W/ OPENING OF BONE CORTEX (E.G., FOROSTEOMYELITIS OR BONE ABSCESS), FEMUR OR KNEE",,,
27305,"FASCIOTOMY, ILIOTIBIAL (TENOTOMY), OPEN",,,
27306,"TENOTOMY, SUBCUTANEOUS, CLOSED, ADDUCTOR ORHAMSTRING; SINGLE",,,
27307,"TENOTOMY, SUBCUTANEOUS, CLOSED, ADDUCTOR ORHAMSTRING; MULTIPLE",,,
27310,"ARTHROTOMY, KNEE, FOR INFECTION, W/ EXPLORATION,DRAINAGE OR REMOVAL OF FOREIGN BODY",,,
27315,"NEURECTOMY, HAMSTRING MUSCLE",,,
27320,"NEURECTOMY, POPLITEAL (GASTROCNEMIUS)",,,
27323,"BIOPSY, SOFT TISSUE OF THIGH OR KNEE AREA",,,
27327,"EXCISION, TUMOR, THIGH OR KNEE AREA; SUBCUTANEOUS",,,
27328,"EXCISION, TUMOR, THIGH OR KNEE AREA; DEEP, SUBFASCIAL, ORINTRAMUSCULAR",,,
27329,"RADICAL RESECTION OF TUMOR (E.G., MALIGNANT NEOPLASM),SOFT TISSUE OF THIGH OR KNEE AREA",,,
27330,"ARTHROTOMY, KNEE; W/ SYNOVIAL BIOPSY ONLY",,,
27331,"ARTHROTOMY, KNEE; W/ JOINT EXPLORATION, W/ OR W/OBIOPSY, W/ OR W/O REMOVAL OF LOOSE OR FOREIGN BODIES",,,
27332,"ARTHROTOMY, KNEE, W/ EXCISION OF SEMILUNAR CARTILAGE(MENISCECTOMY); MEDIAL OR LATERAL",,,
27333,"ARTHROTOMY, KNEE, W/ EXCISION OF SEMILUNAR CARTILAGE(MENISCECTOMY); MEDIAL AND LATERAL",,,
27334,"ARTHROTOMY, KNEE, W/ SYNOVECTOMY; ANTERIOR ORPOSTERIOR",,,
27335,"ARTHROTOMY, KNEE, W/ SYNOVECTOMY; ANTERIOR ANDPOSTERIOR INCLUDING POPLITEAL AREA",,,
27340,"EXCISION, PREPATELLAR BURSA",,,
27345,EXCISION OF SYNOVIAL CYST OF POPLITEAL SPACE (BAKERS CYST),,,
27350,PATELLECTOMY OR HEMIPATELLECTOMY,,,
27355,"EXCISION OR CURETTAGE OF BONE CYST OR BENIGN TUMOR OFFEMUR;",,,
27356,"EXCISION OR CURETTAGE OF BONE CYST OR BENIGN TUMOR OFFEMUR; W/ ALLOGRAFT",,,
27357,"EXCISION OR CURETTAGE OF BONE CYST OR BENIGN TUMOR OFFEMUR; W/ AUTOGRAFT (INCLUDES OBTAINING GRAFT)",,,
27358,"EXCISION OR CURETTAGE OF BONE CYST OR BENIGN TUMOR OFFEMUR; W/ INTERNAL FIXATION",,,
27360,"PARTIAL EXCISION (CRATERIZATION, SAUCERIZATION, ORDIAPHYSECTOMY) OF BONE (E.G., FOR OSTEOMYELITIS), FEMUR,PROXIMAL TIBIA AND/OR FIBULA",,,
27365,"RADICAL RESECTION OF TUMOR, BONE, FEMUR OR KNEE",,,
27372,"REMOVAL OF FOREIGN BODY, DEEP, THIGH REGION OR KNEEAREA",,,
27380,SUTURE OF INFRAPATELLAR TENDON; PRIMARY,,,
27381,"SUTURE OF INFRAPATELLAR TENDON; SECONDARYRECONSTRUCTION, INCLUDING FASCIAL OR TENDON GRAFT",,,
27385,"SUTURE OF QUADRICEPS OR HAMSTRING MUSCLE RUPTURE;PRIMARY",,,
27386,"SUTURE OF QUADRICEPS OR HAMSTRING MUSCLE RUPTURE;SECONDARY RECONSTRUCTION, INCLUDING FASCIAL OR TENDONGRAFT",,,
27390,"TENOTOMY, OPEN, HAMSTRING, KNEE TO HIP; SINGLE",,,
27391,"TENOTOMY, OPEN, HAMSTRING, KNEE TO HIP; MULTIPLE, ONELEG",,,
27392,"TENOTOMY, OPEN, HAMSTRING, KNEE TO HIP; MULTIPLE,BILATERAL",,,
27393,LENGTHENING OF HAMSTRING TENDON; SINGLE,,,
27394,"LENGTHENING OF HAMSTRING TENDON; MULTIPLE, ONE LEG",,,
27395,"LENGTHENING OF HAMSTRING TENDON; MULTIPLE, BILATERAL",,,
27396,"TRANSPLANT, HAMSTRING TENDON TO PATELLA; SINGLE",,,
27397,"TRANSPLANT, HAMSTRING TENDON TO PATELLA; MULTIPLE",,,
27400,"TENDON OR MUSCLE TRANSFER, HAMSTRINGS TO FEMUR(E.G.GERS TYPE PROCEDURE)",,,
27403,ARTHROTOMY W/ OPEN MENISCUS REPAIR,,,
27405,"REPAIR, PRIMARY, TORN LIGAMENT AND/OR CAPSULE, KNEE;COLLATERAL",,,
27407,"REPAIR, PRIMARY, TORN LIGAMENT AND/OR CAPSULE, KNEE;CRUCIATE",,,
27409,"REPAIR, PRIMARY, TORN LIGAMENT AND/OR CAPSULE, KNEE;COLLATERAL AND CRUCIATE LIGAMENTS",,,
27418,"ANTERIOR TIBIAL TUBERCLEPLASTY (E.G., FORCHONDROMALACIA PATELLAE)",,,
RVS Code,Description,,,
,,,,
27422,"RECONSTRUCTION FOR RECURRENT DISLOCATING PATELLA; W/EXTENSOR REALIGNMENT AND/OR MUSCLE ADVANCEMENT ORRELEASE (CAMPBELL, GOLDWAITE TYPE PROCEDURE)",,,
27424,"RECONSTRUCTION FOR RECURRENT DISLOCATING PATELLA; W/PATELLECTOMY",,,
27425,LATERAL RETINACULAR RELEASE (ANY METHOD),,,
27427,"LIGAMENTOUS RECONSTRUCTION (AUGMENTATION), KNEE;EXTRA-ARTICULAR",,,
27428,"LIGAMENTOUS RECONSTRUCTION (AUGMENTATION), KNEE;INTRA-ARTICULAR (OPEN)",,,
